Country,Indicator,Value,Rank,Country_with_rank
Fiji,Inflation,4.5,48,48. Fiji
Kenya,Inflation,4.5,49,49. Kenya
Brazil,Inflation,4.4,50,50. Brazil
South Africa,Inflation,4.4,51,51. South Africa
Chile,Inflation,4.3,52,52. Chile
Solomon Islands,Inflation,4.3,53,53. Solomon Islands
Burkina Faso,Inflation,4.2,54,54. Burkina Faso
Namibia,Inflation,4.2,55,55. Namibia
Mozambique,Inflation,4.1,56,56. Mozambique
Algeria,Inflation,4,57,57. Algeria
Guinea-Bissau,Inflation,3.8,58,58. Guinea-Bissau
Paraguay,Inflation,3.8,59,59. Paraguay
Poland,Inflation,3.8,60,60. Poland
Hungary,Inflation,3.7,61,61. Hungary
Mauritius,Inflation,3.6,62,62. Mauritius
St. Vincent and the Grenadines,Inflation,3.6,63,63. St. Vincent and the Grenadines
Viet Nam,Inflation,3.6,64,64. Viet Nam
Cote d'Ivoire,Inflation,3.5,65,65. Cote d'Ivoire
Estonia,Inflation,3.5,66,66. Estonia
North Macedonia,Inflation,3.5,67,67. North Macedonia
Belize,Inflation,3.3,68,68. Belize
Dominican Republic,Inflation,3.3,69,69. Dominican Republic
Montenegro,Inflation,3.3,70,70. Montenegro
Netherlands,Inflation,3.3,71,71. Netherlands
Uganda,Inflation,3.3,72,72. Uganda
United Kingdom,Inflation,3.3,73,73. United Kingdom
Australia,Inflation,3.2,74,74. Australia
Mali,Inflation,3.2,75,75. Mali
Philippines,Inflation,3.2,76,76. Philippines
Tonga,Inflation,3.2,77,77. Tonga
Belgium,Inflation,3.1,78,78. Belgium
"Congo, Rep.",Inflation,3.1,79,"79. Congo, Rep."
Israel,Inflation,3.1,80,80. Israel
Norway,Inflation,3.1,81,81. Norway
Tanzania,Inflation,3.1,82,82. Tanzania
Croatia,Inflation,3,83,83. Croatia
Austria,Inflation,2.9,84,84. Austria
Equatorial Guinea,Inflation,2.9,85,85. Equatorial Guinea
Guatemala,Inflation,2.9,86,86. Guatemala
Guyana,Inflation,2.9,87,87. Guyana
Kuwait,Inflation,2.9,88,88. Kuwait
New Zealand,Inflation,2.9,89,89. New Zealand
Togo,Inflation,2.9,90,90. Togo
United States,Inflation,2.9,91,91. United States
Bhutan,Inflation,2.8,92,92. Bhutan
Botswana,Inflation,2.8,93,93. Botswana
Slovak Republic,Inflation,2.8,94,94. Slovak Republic
Spain,Inflation,2.8,95,95. Spain
Sweden,Inflation,2.8,96,96. Sweden
Greece,Inflation,2.7,97,97. Greece
Japan,Inflation,2.7,98,98. Japan
Dominica,Inflation,2.6,99,99. Dominica
Mauritania,Inflation,2.5,100,100. Mauritania
Bulgaria,Inflation,2.4,101,101. Bulgaria
Canada,Inflation,2.4,102,102. Canada
Czechia,Inflation,2.4,103,103. Czechia
Portugal,Inflation,2.4,104,104. Portugal
Singapore,Inflation,2.4,105,105. Singapore
Germany,Inflation,2.3,106,106. Germany
"Korea, Rep.",Inflation,2.3,107,"107. Korea, Rep."
Albania,Inflation,2.2,108,108. Albania
Azerbaijan,Inflation,2.2,109,109. Azerbaijan
Indonesia,Inflation,2.2,110,110. Indonesia
Palau,Inflation,2.2,111,111. Palau
Samoa,Inflation,2.2,112,112. Samoa
Djibouti,Inflation,2.1,113,113. Djibouti
Ireland,Inflation,2.1,114,114. Ireland
Libya,Inflation,2.1,115,115. Libya
Luxembourg,Inflation,2.1,116,116. Luxembourg
Timor-Leste,Inflation,2.1,117,117. Timor-Leste
France,Inflation,2,118,118. France
Peru,Inflation,2,119,119. Peru
Slovenia,Inflation,2,120,120. Slovenia
Cyprus,Inflation,1.8,121,121. Cyprus
Malaysia,Inflation,1.8,122,122. Malaysia
Rwanda,Inflation,1.8,123,123. Rwanda
Bosnia and Herzegovina,Inflation,1.7,124,124. Bosnia and Herzegovina
"Hong Kong SAR, China",Inflation,1.7,125,"125. Hong Kong SAR, China"
Malta,Inflation,1.7,126,126. Malta
Saudi Arabia,Inflation,1.7,127,127. Saudi Arabia
United Arab Emirates,Inflation,1.7,128,128. United Arab Emirates
Finland,Inflation,1.6,129,129. Finland
Jordan,Inflation,1.6,130,130. Jordan
Kosovo,Inflation,1.6,131,131. Kosovo
Central African Republic,Inflation,1.5,132,132. Central African Republic
Ecuador,Inflation,1.5,133,133. Ecuador
Denmark,Inflation,1.4,134,134. Denmark
Maldives,Inflation,1.4,135,135. Maldives
Thailand,Inflation,1.4,136,136. Thailand
Latvia,Inflation,1.3,137,137. Latvia
Qatar,Inflation,1.3,138,138. Qatar
Benin,Inflation,1.2,139,139. Benin
Gabon,Inflation,1.2,140,140. Gabon
San Marino,Inflation,1.2,141,141. San Marino
Georgia,Inflation,1.1,142,142. Georgia
Grenada,Inflation,1.1,143,143. Grenada
St. Kitts and Nevis,Inflation,1.1,144,144. St. Kitts and Nevis
Switzerland,Inflation,1.1,145,145. Switzerland
Cabo Verde,Inflation,1,146,146. Cabo Verde
Italy,Inflation,1,147,147. Italy
Morocco,Inflation,1,148,148. Morocco
Bahrain,Inflation,0.9,149,149. Bahrain
El Salvador,Inflation,0.9,150,150. El Salvador
Senegal,Inflation,0.8,151,151. Senegal
Lithuania,Inflation,0.7,152,152. Lithuania
Panama,Inflation,0.7,153,153. Panama
Oman,Inflation,0.6,154,154. Oman
Papua New Guinea,Inflation,0.6,155,155. Papua New Guinea
Trinidad and Tobago,Inflation,0.5,156,156. Trinidad and Tobago
"Bahamas, The",Inflation,0.4,157,"157. Bahamas, The"
Armenia,Inflation,0.3,158,158. Armenia
Seychelles,Inflation,0.3,159,159. Seychelles
China,Inflation,0.2,160,160. China
St. Lucia,Inflation,-0.1,161,161. St. Lucia
Brunei Darussalam,Inflation,-0.4,162,162. Brunei Darussalam
Costa Rica,Inflation,-0.4,163,163. Costa Rica
Sri Lanka,Inflation,-0.4,164,164. Sri Lanka
Barbados,Inflation,-0.5,165,165. Barbados
Afghanistan,Inflation,-6.6,166,166. Afghanistan
Iraq,Inflation,-12.3,167,167. Iraq
United States,International migrants,52.4,1,1. United States
Germany,International migrants,16.8,2,2. Germany
Saudi Arabia,International migrants,13.7,3,3. Saudi Arabia
United Kingdom,International migrants,11.8,4,4. United Kingdom
France,International migrants,9.2,5,5. France
Spain,International migrants,8.9,6,6. Spain
Canada,International migrants,8.8,7,7. Canada
United Arab Emirates,International migrants,8.2,8,8. United Arab Emirates
Australia,International migrants,8.1,9,9. Australia
Russian Federation,International migrants,7.6,10,10. Russian Federation
Turkiye,International migrants,7.1,11,11. Turkiye
Italy,International migrants,6.6,12,12. Italy
Jordan,International migrants,5.3,13,13. Jordan
Ukraine,International migrants,5.1,14,14. Ukraine
India,International migrants,4.8,15,15. India
Pakistan,International migrants,4.2,16,16. Pakistan
"Iran, Islamic Rep.",International migrants,3.8,17,"17. Iran, Islamic Rep."
Malaysia,International migrants,3.8,18,18. Malaysia
Japan,International migrants,3.4,19,19. Japan
Kuwait,International migrants,3.3,20,20. Kuwait
Thailand,International migrants,3.2,21,21. Thailand
Colombia,International migrants,3.1,22,22. Colombia
"Hong Kong SAR, China",International migrants,3.1,23,"23. Hong Kong SAR, China"
Netherlands,International migrants,3,24,24. Netherlands
Bangladesh,International migrants,2.9,25,25. Bangladesh
Cote d'Ivoire,International migrants,2.9,26,26. Cote d'Ivoire
Singapore,International migrants,2.8,27,27. Singapore
Switzerland,International migrants,2.8,28,28. Switzerland
South Africa,International migrants,2.6,29,29. South Africa
Sudan,International migrants,2.4,30,30. Sudan
Austria,International migrants,2.3,31,31. Austria
Belgium,International migrants,2.3,32,32. Belgium
Oman,International migrants,2.3,33,33. Oman
Qatar,International migrants,2.3,34,34. Qatar
Sweden,International migrants,2.3,35,35. Sweden
Israel,International migrants,2.1,36,36. Israel
Kazakhstan,International migrants,2.1,37,37. Kazakhstan
Uganda,International migrants,2.1,38,38. Uganda
Argentina,International migrants,2,39,39. Argentina
"Korea, Rep.",International migrants,1.8,40,"40. Korea, Rep."
Peru,International migrants,1.8,41,41. Peru
Mexico,International migrants,1.7,42,42. Mexico
Poland,International migrants,1.7,43,43. Poland
China,International migrants,1.6,44,44. China
Chile,International migrants,1.5,45,45. Chile
New Zealand,International migrants,1.5,46,46. New Zealand
Brazil,International migrants,1.4,47,47. Brazil
Greece,International migrants,1.4,48,48. Greece
Lebanon,International migrants,1.4,49,49. Lebanon
Nigeria,International migrants,1.4,50,50. Nigeria
Chad,International migrants,1.3,51,51. Chad
"Venezuela, RB",International migrants,1.3,52,"52. Venezuela, RB"
Ethiopia,International migrants,1.2,53,53. Ethiopia
Ireland,International migrants,1.2,54,54. Ireland
Uzbekistan,International migrants,1.2,55,55. Uzbekistan
Belarus,International migrants,1.1,56,56. Belarus
"Congo, Dem. Rep.",International migrants,1.1,57,"57. Congo, Dem. Rep."
"Egypt, Arab Rep.",International migrants,1.1,58,"58. Egypt, Arab Rep."
Portugal,International migrants,1.1,59,59. Portugal
Czechia,International migrants,1,60,60. Czechia
Kenya,International migrants,1,61,61. Kenya
Norway,International migrants,1,62,62. Norway
Libya,International migrants,0.9,63,63. Libya
South Sudan,International migrants,0.9,64,64. South Sudan
Syrian Arab Republic,International migrants,0.9,65,65. Syrian Arab Republic
Bahrain,International migrants,0.8,66,66. Bahrain
Denmark,International migrants,0.8,67,67. Denmark
Angola,International migrants,0.7,68,68. Angola
Burkina Faso,International migrants,0.7,69,69. Burkina Faso
Dominican Republic,International migrants,0.7,70,70. Dominican Republic
Ecuador,International migrants,0.7,71,71. Ecuador
Hungary,International migrants,0.7,72,72. Hungary
Romania,International migrants,0.7,73,73. Romania
Serbia,International migrants,0.7,74,74. Serbia
Cameroon,International migrants,0.6,75,75. Cameroon
Costa Rica,International migrants,0.6,76,76. Costa Rica
Croatia,International migrants,0.5,77,77. Croatia
Finland,International migrants,0.5,78,78. Finland
Ghana,International migrants,0.5,79,79. Ghana
Mali,International migrants,0.5,80,80. Mali
Nepal,International migrants,0.5,81,81. Nepal
Panama,International migrants,0.5,82,82. Panama
Rwanda,International migrants,0.5,83,83. Rwanda
Tanzania,International migrants,0.5,84,84. Tanzania
Benin,International migrants,0.4,85,85. Benin
Burundi,International migrants,0.4,86,86. Burundi
"Congo, Rep.",International migrants,0.4,87,"87. Congo, Rep."
Gabon,International migrants,0.4,88,88. Gabon
Indonesia,International migrants,0.4,89,89. Indonesia
Iraq,International migrants,0.4,90,90. Iraq
"Macao SAR, China",International migrants,0.4,91,"91. Macao SAR, China"
Mozambique,International migrants,0.4,92,92. Mozambique
Niger,International migrants,0.4,93,93. Niger
"Yemen, Rep.",International migrants,0.4,94,"94. Yemen, Rep."
Zimbabwe,International migrants,0.4,95,95. Zimbabwe
Algeria,International migrants,0.3,96,96. Algeria
Armenia,International migrants,0.3,97,97. Armenia
Bulgaria,International migrants,0.3,98,98. Bulgaria
Luxembourg,International migrants,0.3,99,99. Luxembourg
Senegal,International migrants,0.3,100,100. Senegal
Slovak Republic,International migrants,0.3,101,101. Slovak Republic
Slovenia,International migrants,0.3,102,102. Slovenia
Tajikistan,International migrants,0.3,103,103. Tajikistan
Togo,International migrants,0.3,104,104. Togo
Viet Nam,International migrants,0.3,105,105. Viet Nam
West Bank and Gaza,International migrants,0.3,106,106. West Bank and Gaza
Azerbaijan,International migrants,0.2,107,107. Azerbaijan
Bolivia,International migrants,0.2,108,108. Bolivia
Cyprus,International migrants,0.2,109,109. Cyprus
Equatorial Guinea,International migrants,0.2,110,110. Equatorial Guinea
Estonia,International migrants,0.2,111,111. Estonia
"Gambia, The",International migrants,0.2,112,"112. Gambia, The"
Kyrgyz Republic,International migrants,0.2,113,113. Kyrgyz Republic
Latvia,International migrants,0.2,114,114. Latvia
Lithuania,International migrants,0.2,115,115. Lithuania
Malawi,International migrants,0.2,116,116. Malawi
Malta,International migrants,0.2,117,117. Malta
Mauritania,International migrants,0.2,118,118. Mauritania
Moldova,International migrants,0.2,119,119. Moldova
North Macedonia,International migrants,0.2,120,120. North Macedonia
Paraguay,International migrants,0.2,121,121. Paraguay
Puerto Rico (US),International migrants,0.2,122,122. Puerto Rico (US)
Turkmenistan,International migrants,0.2,123,123. Turkmenistan
Uruguay,International migrants,0.2,124,124. Uruguay
Zambia,International migrants,0.2,125,125. Zambia
Afghanistan,International migrants,0.1,126,126. Afghanistan
Aruba,International migrants,0.1,127,127. Aruba
"Bahamas, The",International migrants,0.1,128,"128. Bahamas, The"
Belize,International migrants,0.1,129,129. Belize
Bhutan,International migrants,0.1,130,130. Bhutan
Botswana,International migrants,0.1,131,131. Botswana
Brunei Darussalam,International migrants,0.1,132,132. Brunei Darussalam
Cambodia,International migrants,0.1,133,133. Cambodia
Central African Republic,International migrants,0.1,134,134. Central African Republic
Channel Islands,International migrants,0.1,135,135. Channel Islands
Curacao,International migrants,0.1,136,136. Curacao
Djibouti,International migrants,0.1,137,137. Djibouti
Georgia,International migrants,0.1,138,138. Georgia
Guam,International migrants,0.1,139,139. Guam
Guatemala,International migrants,0.1,140,140. Guatemala
Guinea,International migrants,0.1,141,141. Guinea
Guyana,International migrants,0.1,142,142. Guyana
Iceland,International migrants,0.1,143,143. Iceland
"Korea, Dem. People's Rep.",International migrants,0.1,144,"144. Korea, Dem. People's Rep."
Lao PDR,International migrants,0.1,145,145. Lao PDR
Liberia,International migrants,0.1,146,146. Liberia
Maldives,International migrants,0.1,147,147. Maldives
Montenegro,International migrants,0.1,148,148. Montenegro
Morocco,International migrants,0.1,149,149. Morocco
Myanmar,International migrants,0.1,150,150. Myanmar
Namibia,International migrants,0.1,151,151. Namibia
New Caledonia,International migrants,0.1,152,152. New Caledonia
Philippines,International migrants,0.1,153,153. Philippines
"Somalia, Fed. Rep.",International migrants,0.1,154,"154. Somalia, Fed. Rep."
Suriname,International migrants,0.1,155,155. Suriname
Trinidad and Tobago,International migrants,0.1,156,156. Trinidad and Tobago
Tunisia,International migrants,0.1,157,157. Tunisia
Virgin Islands (U.S.),International migrants,0.1,158,158. Virgin Islands (U.S.)
Albania,International migrants,0,159,159. Albania
American Samoa,International migrants,0,160,160. American Samoa
Andorra,International migrants,0,161,161. Andorra
Antigua and Barbuda,International migrants,0,162,162. Antigua and Barbuda
Barbados,International migrants,0,163,163. Barbados
Bermuda,International migrants,0,164,164. Bermuda
Bosnia and Herzegovina,International migrants,0,165,165. Bosnia and Herzegovina
Cabo Verde,International migrants,0,166,166. Cabo Verde
Cayman Islands,International migrants,0,167,167. Cayman Islands
Comoros,International migrants,0,168,168. Comoros
Cuba,International migrants,0,169,169. Cuba
Dominica,International migrants,0,170,170. Dominica
El Salvador,International migrants,0,171,171. El Salvador
Eritrea,International migrants,0,172,172. Eritrea
Eswatini,International migrants,0,173,173. Eswatini
Faroe Islands,International migrants,0,174,174. Faroe Islands
Fiji,International migrants,0,175,175. Fiji
French Polynesia,International migrants,0,176,176. French Polynesia
Greenland,International migrants,0,177,177. Greenland
Grenada,International migrants,0,178,178. Grenada
Guinea-Bissau,International migrants,0,179,179. Guinea-Bissau
Haiti,International migrants,0,180,180. Haiti
Honduras,International migrants,0,181,181. Honduras
Isle of Man,International migrants,0,182,182. Isle of Man
Jamaica,International migrants,0,183,183. Jamaica
Kiribati,International migrants,0,184,184. Kiribati
Lesotho,International migrants,0,185,185. Lesotho
Liechtenstein,International migrants,0,186,186. Liechtenstein
Madagascar,International migrants,0,187,187. Madagascar
Marshall Islands,International migrants,0,188,188. Marshall Islands
Mauritius,International migrants,0,189,189. Mauritius
"Micronesia, Fed. Sts.",International migrants,0,190,"190. Micronesia, Fed. Sts."
Monaco,International migrants,0,191,191. Monaco
Mongolia,International migrants,0,192,192. Mongolia
Nauru,International migrants,0,193,193. Nauru
Nicaragua,International migrants,0,194,194. Nicaragua
Northern Mariana Islands,International migrants,0,195,195. Northern Mariana Islands
Palau,International migrants,0,196,196. Palau
Papua New Guinea,International migrants,0,197,197. Papua New Guinea
Samoa,International migrants,0,198,198. Samoa
San Marino,International migrants,0,199,199. San Marino
Sao Tome and Principe,International migrants,0,200,200. Sao Tome and Principe
Seychelles,International migrants,0,201,201. Seychelles
Sierra Leone,International migrants,0,202,202. Sierra Leone
Sint Maarten (Dutch part),International migrants,0,203,203. Sint Maarten (Dutch part)
Solomon Islands,International migrants,0,204,204. Solomon Islands
Sri Lanka,International migrants,0,205,205. Sri Lanka
St. Kitts and Nevis,International migrants,0,206,206. St. Kitts and Nevis
St. Lucia,International migrants,0,207,207. St. Lucia
St. Vincent and the Grenadines,International migrants,0,208,208. St. Vincent and the Grenadines
Timor-Leste,International migrants,0,209,209. Timor-Leste
Tonga,International migrants,0,210,210. Tonga
Turks and Caicos Islands,International migrants,0,211,211. Turks and Caicos Islands
Tuvalu,International migrants,0,212,212. Tuvalu
Vanuatu,International migrants,0,213,213. Vanuatu
Qatar,International migrants share,76.7,1,1. Qatar
United Arab Emirates,International migrants share,74,2,2. United Arab Emirates
Monaco,International migrants share,70.2,3,3. Monaco
Sint Maarten (Dutch part),International migrants share,69.5,4,4. Sint Maarten (Dutch part)
Liechtenstein,International migrants share,69.4,5,5. Liechtenstein
Aruba,International migrants share,68,6,6. Aruba
Kuwait,International migrants share,67.3,7,7. Kuwait
Virgin Islands (U.S.),International migrants share,66.9,8,8. Virgin Islands (U.S.)
Turks and Caicos Islands,International migrants share,61.1,9,9. Turks and Caicos Islands
"Macao SAR, China",International migrants share,59.3,10,"10. Macao SAR, China"
Andorra,International migrants share,59.1,11,11. Andorra
Bahrain,International migrants share,52.3,12,12. Bahrain
Isle of Man,International migrants share,51.9,13,13. Isle of Man
Luxembourg,International migrants share,51.2,14,14. Luxembourg
Channel Islands,International migrants share,50.9,15,15. Channel Islands
American Samoa,International migrants share,50.6,16,16. American Samoa
Guam,International migrants share,50.2,17,17. Guam
Northern Mariana Islands,International migrants share,49.7,18,18. Northern Mariana Islands
Singapore,International migrants share,48.7,19,19. Singapore
Jordan,International migrants share,45.7,20,20. Jordan
Oman,International migrants share,43.2,21,21. Oman
Curacao,International migrants share,43.1,22,22. Curacao
Cayman Islands,International migrants share,42.9,23,23. Cayman Islands
"Hong Kong SAR, China",International migrants share,41.3,24,"24. Hong Kong SAR, China"
Saudi Arabia,International migrants share,40.3,25,25. Saudi Arabia
Malta,International migrants share,37,26,26. Malta
Antigua and Barbuda,International migrants share,32.5,27,27. Antigua and Barbuda
Bermuda,International migrants share,31.2,28,28. Bermuda
Switzerland,International migrants share,31.1,29,29. Switzerland
Australia,International migrants share,30.4,30,30. Australia
Palau,International migrants share,29.5,31,31. Palau
New Zealand,International migrants share,28.2,32,32. New Zealand
New Caledonia,International migrants share,26.2,33,33. New Caledonia
Brunei Darussalam,International migrants share,25.9,34,34. Brunei Darussalam
Austria,International migrants share,25.5,35,35. Austria
Iceland,International migrants share,25.1,36,36. Iceland
Lebanon,International migrants share,24.5,37,37. Lebanon
Ireland,International migrants share,23.1,38,38. Ireland
Israel,International migrants share,22.3,39,39. Israel
Canada,International migrants share,22.2,40,40. Canada
Sweden,International migrants share,21.4,41,41. Sweden
Nauru,International migrants share,21.3,42,42. Nauru
Belgium,International migrants share,20,43,43. Belgium
Germany,International migrants share,19.8,44,44. Germany
Spain,International migrants share,18.5,45,45. Spain
Norway,International migrants share,18.2,46,46. Norway
Gabon,International migrants share,17.7,47,47. Gabon
San Marino,International migrants share,17.4,48,48. San Marino
United Kingdom,International migrants share,17.1,49,49. United Kingdom
St. Kitts and Nevis,International migrants share,17,50,50. St. Kitts and Nevis
"Bahamas, The",International migrants share,16.8,51,"51. Bahamas, The"
Belize,International migrants share,16.5,52,52. Belize
Netherlands,International migrants share,16.2,53,53. Netherlands
United States,International migrants share,15.2,54,54. United States
Cyprus,International migrants share,14.9,55,55. Cyprus
Estonia,International migrants share,14.9,56,56. Estonia
Slovenia,International migrants share,14.9,57,57. Slovenia
Faroe Islands,International migrants share,14.6,58,58. Faroe Islands
Montenegro,International migrants share,14.4,59,59. Montenegro
Denmark,International migrants share,14.2,60,60. Denmark
Greece,International migrants share,14.2,61,61. Greece
Maldives,International migrants share,14.2,62,62. Maldives
France,International migrants share,13.8,63,63. France
Croatia,International migrants share,13.6,64,64. Croatia
Ukraine,International migrants share,13.4,65,65. Ukraine
Equatorial Guinea,International migrants share,13.2,66,66. Equatorial Guinea
Dominica,International migrants share,12.7,67,67. Dominica
Barbados,International migrants share,12.5,68,68. Barbados
Costa Rica,International migrants share,12.2,69,69. Costa Rica
Libya,International migrants share,12.2,70,70. Libya
Latvia,International migrants share,11.8,71,71. Latvia
Belarus,International migrants share,11.6,72,72. Belarus
Italy,International migrants share,11,73,73. Italy
Djibouti,International migrants share,10.8,74,74. Djibouti
Portugal,International migrants share,10.8,75,75. Portugal
French Polynesia,International migrants share,10.7,76,76. French Polynesia
Malaysia,International migrants share,10.7,77,77. Malaysia
Panama,International migrants share,10.6,78,78. Panama
Serbia,International migrants share,10.6,79,79. Serbia
Greenland,International migrants share,10.4,80,80. Greenland
Seychelles,International migrants share,10.2,81,81. Seychelles
Kazakhstan,International migrants share,10.1,82,82. Kazakhstan
Czechia,International migrants share,9.5,83,83. Czechia
Armenia,International migrants share,9.2,84,84. Armenia
Finland,International migrants share,9.2,85,85. Finland
Cote d'Ivoire,International migrants share,9,86,86. Cote d'Ivoire
Marshall Islands,International migrants share,8.8,87,87. Marshall Islands
"Gambia, The",International migrants share,8.6,88,"88. Gambia, The"
North Macedonia,International migrants share,8.3,89,89. North Macedonia
Suriname,International migrants share,8.2,90,90. Suriname
Turkiye,International migrants share,8.1,91,91. Turkiye
Chile,International migrants share,7.8,92,92. Chile
South Sudan,International migrants share,7.7,93,93. South Sudan
Trinidad and Tobago,International migrants share,7.5,94,94. Trinidad and Tobago
Hungary,International migrants share,7.1,95,95. Hungary
Bhutan,International migrants share,7,96,96. Bhutan
Puerto Rico (US),International migrants share,6.9,97,97. Puerto Rico (US)
Dominican Republic,International migrants share,6.5,98,98. Dominican Republic
Guyana,International migrants share,6.5,99,99. Guyana
Chad,International migrants share,6.3,100,100. Chad
Grenada,International migrants share,6.3,101,101. Grenada
Moldova,International migrants share,6.2,102,102. Moldova
"Congo, Rep.",International migrants share,6.1,103,"103. Congo, Rep."
Lithuania,International migrants share,6.1,104,104. Lithuania
Slovak Republic,International migrants share,5.9,105,105. Slovak Republic
Colombia,International migrants share,5.8,106,106. Colombia
Peru,International migrants share,5.4,107,107. Peru
Russian Federation,International migrants share,5.3,108,108. Russian Federation
West Bank and Gaza,International migrants share,5,109,109. West Bank and Gaza
St. Vincent and the Grenadines,International migrants share,4.8,110,110. St. Vincent and the Grenadines
Sudan,International migrants share,4.8,111,111. Sudan
Uruguay,International migrants share,4.7,112,112. Uruguay
Botswana,International migrants share,4.6,113,113. Botswana
Poland,International migrants share,4.5,114,114. Poland
St. Lucia,International migrants share,4.5,115,115. St. Lucia
Bulgaria,International migrants share,4.4,116,116. Bulgaria
Thailand,International migrants share,4.4,117,117. Thailand
"Venezuela, RB",International migrants share,4.4,118,"118. Venezuela, RB"
Argentina,International migrants share,4.3,119,119. Argentina
"Iran, Islamic Rep.",International migrants share,4.2,120,"120. Iran, Islamic Rep."
Ecuador,International migrants share,4.1,121,121. Ecuador
South Africa,International migrants share,4.1,122,122. South Africa
Uganda,International migrants share,4.1,123,123. Uganda
Mauritania,International migrants share,3.8,124,124. Mauritania
Namibia,International migrants share,3.8,125,125. Namibia
Rwanda,International migrants share,3.6,126,126. Rwanda
Syrian Arab Republic,International migrants share,3.6,127,127. Syrian Arab Republic
"Korea, Rep.",International migrants share,3.5,128,"128. Korea, Rep."
Romania,International migrants share,3.4,129,129. Romania
Tonga,International migrants share,3.4,130,130. Tonga
Uzbekistan,International migrants share,3.2,131,131. Uzbekistan
Burkina Faso,International migrants share,3.1,132,132. Burkina Faso
Cabo Verde,International migrants share,3.1,133,133. Cabo Verde
Togo,International migrants share,3,134,134. Togo
Benin,International migrants share,2.9,135,135. Benin
Burundi,International migrants share,2.8,136,136. Burundi
Japan,International migrants share,2.8,137,137. Japan
Eswatini,International migrants share,2.7,138,138. Eswatini
Kyrgyz Republic,International migrants share,2.7,139,139. Kyrgyz Republic
"Micronesia, Fed. Sts.",International migrants share,2.6,140,"140. Micronesia, Fed. Sts."
Paraguay,International migrants share,2.6,141,141. Paraguay
Tajikistan,International migrants share,2.6,142,142. Tajikistan
Turkmenistan,International migrants share,2.6,143,143. Turkmenistan
Tuvalu,International migrants share,2.6,144,144. Tuvalu
Zimbabwe,International migrants share,2.6,145,145. Zimbabwe
Kiribati,International migrants share,2.5,146,146. Kiribati
Mauritius,International migrants share,2.3,147,147. Mauritius
Cameroon,International migrants share,2.2,148,148. Cameroon
Mali,International migrants share,2.2,149,149. Mali
Azerbaijan,International migrants share,2.1,150,150. Azerbaijan
Georgia,International migrants share,2.1,151,151. Georgia
Angola,International migrants share,1.8,152,152. Angola
Central African Republic,International migrants share,1.8,153,153. Central African Republic
Kenya,International migrants share,1.8,154,154. Kenya
Samoa,International migrants share,1.8,155,155. Samoa
Albania,International migrants share,1.7,156,156. Albania
Bangladesh,International migrants share,1.7,157,157. Bangladesh
Niger,International migrants share,1.7,158,158. Niger
Pakistan,International migrants share,1.7,159,159. Pakistan
Nepal,International migrants share,1.6,160,160. Nepal
Bolivia,International migrants share,1.5,161,161. Bolivia
Fiji,International migrants share,1.5,162,162. Fiji
Ghana,International migrants share,1.5,163,163. Ghana
Senegal,International migrants share,1.5,164,164. Senegal
Comoros,International migrants share,1.4,165,165. Comoros
Liberia,International migrants share,1.3,166,166. Liberia
Mexico,International migrants share,1.3,167,167. Mexico
Zambia,International migrants share,1.2,168,168. Zambia
Bosnia and Herzegovina,International migrants share,1.1,169,169. Bosnia and Herzegovina
"Congo, Dem. Rep.",International migrants share,1,170,"170. Congo, Dem. Rep."
"Egypt, Arab Rep.",International migrants share,1,171,"171. Egypt, Arab Rep."
Mozambique,International migrants share,1,172,172. Mozambique
Vanuatu,International migrants share,1,173,173. Vanuatu
"Yemen, Rep.",International migrants share,1,174,"174. Yemen, Rep."
Ethiopia,International migrants share,0.9,175,175. Ethiopia
Malawi,International migrants share,0.9,176,176. Malawi
Guinea,International migrants share,0.8,177,177. Guinea
Iraq,International migrants share,0.8,178,178. Iraq
Jamaica,International migrants share,0.8,179,179. Jamaica
Sao Tome and Principe,International migrants share,0.8,180,180. Sao Tome and Principe
Brazil,International migrants share,0.7,181,181. Brazil
El Salvador,International migrants share,0.7,182,182. El Salvador
Guinea-Bissau,International migrants share,0.7,183,183. Guinea-Bissau
Lao PDR,International migrants share,0.7,184,184. Lao PDR
Tanzania,International migrants share,0.7,185,185. Tanzania
Algeria,International migrants share,0.6,186,186. Algeria
Lesotho,International migrants share,0.6,187,187. Lesotho
Mongolia,International migrants share,0.6,188,188. Mongolia
Nicaragua,International migrants share,0.6,189,189. Nicaragua
Nigeria,International migrants share,0.6,190,190. Nigeria
Sierra Leone,International migrants share,0.6,191,191. Sierra Leone
Timor-Leste,International migrants share,0.6,192,192. Timor-Leste
Cambodia,International migrants share,0.5,193,193. Cambodia
Guatemala,International migrants share,0.5,194,194. Guatemala
Tunisia,International migrants share,0.5,195,195. Tunisia
Eritrea,International migrants share,0.4,196,196. Eritrea
Honduras,International migrants share,0.4,197,197. Honduras
"Somalia, Fed. Rep.",International migrants share,0.4,198,"198. Somalia, Fed. Rep."
India,International migrants share,0.3,199,199. India
Morocco,International migrants share,0.3,200,200. Morocco
Papua New Guinea,International migrants share,0.3,201,201. Papua New Guinea
Solomon Islands,International migrants share,0.3,202,202. Solomon Islands
Viet Nam,International migrants share,0.3,203,203. Viet Nam
Afghanistan,International migrants share,0.2,204,204. Afghanistan
Haiti,International migrants share,0.2,205,205. Haiti
Indonesia,International migrants share,0.2,206,206. Indonesia
